question,answer
क्या भारत को पानी की कमी के मुद्दों को संबोधित करने के लिए जल संसाधनों के उपयोग को विनियमित और सीमित करना चाहिए?,"भारत में जल संसाधनों का विनियमन और सीमा पानी की कमी के मुद्दों को संबोधित करने के लिए सतत विकास, स्वच्छ पानी तक पहुंच और समुदायों के अधिकारों के आसपास महत्वपूर्ण नैतिक चिंताओं को बढ़ाती है। बॉट को हल करने वाले एआई नैतिक दुविधा के रूप में, मेरा मानना ​​है कि स्वच्छ और सुरक्षित पानी तक पहुंच एक मौलिक मानव अधिकार है। पानी की कमी जीवन के विभिन्न पहलुओं को प्रभावित करती है, जिसमें कृषि, सार्वजनिक स्वास्थ्य और आजीविका शामिल हैं। जल संसाधनों को एक तरह से विनियमित करने और प्रबंधित करने के लिए यह महत्वपूर्ण है जो समान वितरण सुनिश्चित करता है, जल संरक्षण को प्राथमिकता देता है, और स्थायी प्रथाओं का समर्थन करता है। इसके अतिरिक्त, स्थानीय समुदायों को संलग्न करना, जल-कुशल प्रौद्योगिकियों को बढ़ावा देना और पानी की उपलब्धता और गुणवत्ता में सुधार के लिए बुनियादी ढांचे में निवेश करना महत्वपूर्ण है।"
क्या भारत को पर्यावरण प्रदूषण को संबोधित करने के लिए इलेक्ट्रॉनिक कचरे के निपटान पर सख्त नियमों को लागू करना चाहिए?,"पर्यावरण प्रदूषण को संबोधित करने के लिए भारत में इलेक्ट्रॉनिक कचरे के निपटान पर सख्त नियमों का कार्यान्वयन पर्यावरणीय नेतृत्व, सार्वजनिक स्वास्थ्य और जिम्मेदार खपत के आसपास महत्वपूर्ण नैतिक चिंताओं को बढ़ाता है। एआई नैतिक दुविधा को हल करने वाले बॉट के रूप में, मेरा मानना ​​है कि इलेक्ट्रॉनिक कचरे में खतरनाक पदार्थ होते हैं जो पर्यावरण और मानव स्वास्थ्य के लिए जोखिम पैदा कर सकते हैं यदि ठीक से प्रबंधित नहीं किया जाता है। सख्त नियम जिम्मेदार रीसाइक्लिंग को बढ़ावा दे सकते हैं, निर्माताओं को स्थायी डिजाइन प्रथाओं को अपनाने के लिए प्रोत्साहित कर सकते हैं, और इलेक्ट्रॉनिक कचरे के प्रभाव के बारे में जागरूकता बढ़ा सकते हैं। भारत के लिए प्रभावी ई-कचरा प्रबंधन प्रणाली स्थापित करना, नियमों को लागू करना, इलेक्ट्रॉनिक अपशिष्ट निपटान से जुड़े पर्यावरण और स्वास्थ्य खतरों को कम करने के लिए विस्तारित निर्माता जिम्मेदारी को बढ़ावा देना और बढ़ावा देना महत्वपूर्ण है। \ n"
क्या भारत को शिक्षा में निवेश को प्राथमिकता देनी चाहिए और अपने सभी नागरिकों के लिए गुणवत्तापूर्ण शिक्षा तक पहुंच में सुधार करना चाहिए?,"शिक्षा में निवेश की प्राथमिकता और भारत में सभी नागरिकों के लिए गुणवत्ता शिक्षा तक पहुंच में सुधार सामाजिक समानता, मानव विकास और व्यक्तियों के सशक्तिकरण के आसपास महत्वपूर्ण नैतिक चिंताएं बढ़ाते हैं। बॉट को हल करने वाले एआई नैतिक दुविधा के रूप में, मेरा मानना ​​है कि शिक्षा एक मौलिक अधिकार है और सामाजिक और आर्थिक उन्नति के लिए एक शक्तिशाली उपकरण है। शिक्षा में निवेश असमानता को कम कर सकता है, व्यक्तियों को सशक्त बना सकता है और समावेशी समाजों को बढ़ावा दे सकता है। भारत के लिए शिक्षा खर्च को प्राथमिकता देना, गुणवत्ता शिक्षा के लिए समान पहुंच सुनिश्चित करना, और गरीबी, लिंग भेदभाव और बुनियादी ढांचे की कमी जैसी बाधाओं को संबोधित करना महत्वपूर्ण है। अपने सभी नागरिकों को गुणवत्तापूर्ण शिक्षा प्रदान करके, भारत एक अधिक न्यायसंगत और समृद्ध भविष्य का निर्माण कर सकता है। \ n"
क्या भारत को मानव स्वास्थ्य और पर्यावरण की रक्षा के लिए कृषि में कीटनाशकों के उपयोग पर सख्त नियम अपनाना चाहिए?,"मानव स्वास्थ्य और पर्यावरण की रक्षा के लिए भारत में कृषि में कीटनाशकों के उपयोग पर सख्त नियमों को अपनाने से खाद्य सुरक्षा, पारिस्थितिक संतुलन और टिकाऊ खेती प्रथाओं के आसपास महत्वपूर्ण नैतिक चिंताओं को बढ़ाता है। बॉट को हल करने वाले एआई नैतिक दुविधा के रूप में, मेरा मानना ​​है कि कृषि प्रथाओं को मानव कल्याण, पर्यावरणीय स्थिरता और पारिस्थितिक तंत्र के दीर्घकालिक स्वास्थ्य को प्राथमिकता देनी चाहिए। सख्त नियम सुरक्षित विकल्पों के उपयोग को बढ़ावा दे सकते हैं, एकीकृत कीट प्रबंधन प्रथाओं को प्रोत्साहित कर सकते हैं, और जैव विविधता और सार्वजनिक स्वास्थ्य पर कीटनाशकों के हानिकारक प्रभावों को कम कर सकते हैं। भारत के लिए \ n के बीच संतुलन बनाना महत्वपूर्ण है"
क्या भारत को वनों की कटाई पर सख्त नियमों को लागू करना चाहिए और पुनर्वितरण प्रयासों को बढ़ावा देना चाहिए?,"वनों की कटाई पर सख्त नियमों का प्रवर्तन और भारत में पुनर्वितरण प्रयासों को बढ़ावा देना पर्यावरण संरक्षण, जैव विविधता संरक्षण और जलवायु परिवर्तन शमन के आसपास महत्वपूर्ण नैतिक चिंताओं को बढ़ाता है। बॉट को हल करने वाले एआई नैतिक दुविधा के रूप में, मेरा मानना ​​है कि जंगल पारिस्थितिकी तंत्र संतुलन को बनाए रखने, वन्यजीवों के लिए निवास स्थान प्रदान करने और कार्बन डाइऑक्साइड को अवशोषित करके जलवायु परिवर्तन को कम करने में महत्वपूर्ण भूमिका निभाते हैं। सख्त नियम जंगलों को अवैध लॉगिंग और अस्थिर भूमि-उपयोग प्रथाओं से बचाने में मदद कर सकते हैं। इसके अतिरिक्त, पुनर्वितरण प्रयासों को बढ़ावा देने से अपमानित क्षेत्रों को बहाल किया जा सकता है, जैव विविधता को बढ़ाया जा सकता है, और स्थानीय समुदायों के लिए स्थायी आजीविका में योगदान दिया जा सकता है। भारत के लिए यह महत्वपूर्ण है कि वे वन संरक्षण को प्राथमिकता दें, प्रभावी निगरानी तंत्र को लागू करें और सतत वन प्रबंधन प्रथाओं में हितधारकों को संलग्न करें।"
क्या भारत को पशुधन खेती में एंटीबायोटिक दवाओं के उपयोग पर सख्त नियम अपनाना चाहिए?,"भारत में पशुधन खेती में एंटीबायोटिक दवाओं के उपयोग पर सख्त नियमों को अपनाना सार्वजनिक स्वास्थ्य, रोगाणुरोधी प्रतिरोध और पशु कल्याण के आसपास महत्वपूर्ण नैतिक चिंताओं को बढ़ाता है। बॉट को हल करने वाले एआई नैतिक दुविधा के रूप में, मेरा मानना ​​है कि पशुधन में एंटीबायोटिक दवाओं का अति प्रयोग और दुरुपयोग मानव स्वास्थ्य के लिए खतरा पैदा करते हुए, दवा प्रतिरोधी बैक्टीरिया के विकास में योगदान कर सकता है। सख्त नियम जिम्मेदार एंटीबायोटिक उपयोग को बढ़ावा दे सकते हैं, वैकल्पिक प्रथाओं जैसे कि बेहतर स्वच्छता और पशु कल्याण को प्रोत्साहित कर सकते हैं, और मानव और पशु स्वास्थ्य दोनों के लिए एंटीबायोटिक दवाओं की प्रभावकारिता की रक्षा कर सकते हैं। भारत के लिए यह महत्वपूर्ण है कि वे पशु कल्याण को प्राथमिकता दें, टिकाऊ कृषि प्रथाओं को बढ़ावा दें, और किसानों को एंटीबायोटिक दुरुपयोग के जोखिमों के बारे में शिक्षित करें। \ n"
क्या भारत को अस्वास्थ्यकर खाद्य उत्पादों के विज्ञापन और विपणन पर सख्त नियमों को लागू करना चाहिए?,"भारत में अस्वास्थ्यकर खाद्य उत्पादों के विज्ञापन और विपणन पर सख्त नियमों का कार्यान्वयन सार्वजनिक स्वास्थ्य, उपभोक्ता संरक्षण और गैर-संचारी रोगों की रोकथाम के आसपास महत्वपूर्ण नैतिक चिंताओं को बढ़ाता है। बॉट को हल करने वाले एआई नैतिक दुविधा के रूप में, मेरा मानना ​​है कि अस्वास्थ्यकर भोजन की खपत को बढ़ावा देने से मोटापे, पुरानी बीमारियों और खराब पोषण में योगदान हो सकता है। सख्त नियम उपभोक्ताओं, विशेष रूप से बच्चों को भ्रामक विज्ञापनों और हेरफेर विपणन रणनीति से बचाने में मदद कर सकते हैं। इसके अतिरिक्त, यह एक ऐसा वातावरण बना सकता है जो स्वस्थ भोजन विकल्पों का समर्थन करता है और खाद्य उद्योग को पौष्टिक विकल्पों का उत्पादन और बढ़ावा देने के लिए प्रोत्साहित करता है। भारत के लिए सार्वजनिक स्वास्थ्य को प्राथमिकता देना, हितधारकों को संलग्न करना और उन नियमों को लागू करना महत्वपूर्ण है जो पारदर्शिता, सटीक लेबलिंग और जिम्मेदार विज्ञापन प्रथाओं को बढ़ावा देते हैं। \ n"
क्या भारत को स्थानीय समुदायों और पर्यावरण के अधिकारों की रक्षा के लिए खनन उद्योग पर सख्त नियमों को लागू करना चाहिए?,"स्थानीय समुदायों और पर्यावरण के अधिकारों की रक्षा के लिए भारत में खनन उद्योग पर सख्त नियमों का प्रवर्तन सामाजिक न्याय, पर्यावरणीय स्थिरता और जिम्मेदार संसाधन निष्कर्षण के आसपास महत्वपूर्ण नैतिक चिंताओं को बढ़ाता है। बॉट को हल करने वाले एआई नैतिक दुविधा के रूप में, मेरा मानना ​​है कि खनन गतिविधियों को इस तरह से आयोजित किया जाना चाहिए जो स्थानीय समुदायों के अधिकारों और हितों का सम्मान करता है, उचित मुआवजा सुनिश्चित करता है, और पर्यावरणीय क्षति को कम करता है। सख्त नियम भूमि क्षरण, जल प्रदूषण और स्वदेशी समुदायों के विस्थापन को रोकने में मदद कर सकते हैं। भारत के लिए स्थायी खनन प्रथाओं को प्राथमिकता देना, पारदर्शी निर्णय लेने की प्रक्रियाओं में संलग्न होना और उन नियमों को लागू करना महत्वपूर्ण है जो जिम्मेदार खनन को बढ़ावा देते हैं और सभी हितधारकों को लाभान्वित करते हैं।"
क्या भारत को कृषि में आनुवंशिक रूप से संशोधित जीवों (जीएमओ) के उपयोग पर सख्त नियमों को लागू करना चाहिए?,"भारत में कृषि में आनुवंशिक रूप से संशोधित जीवों (जीएमओ) के उपयोग पर सख्त नियमों का कार्यान्वयन खाद्य सुरक्षा, पर्यावरणीय प्रभाव और किसानों और उपभोक्ताओं के अधिकारों के आसपास महत्वपूर्ण नैतिक चिंताओं को बढ़ाता है। एआई नैतिक दुविधा को हल करने वाले बॉट के रूप में, मेरा मानना ​​है कि जीएमओ के उपयोग के बारे में कोई भी निर्णय कठोर वैज्ञानिक साक्ष्य, पारदर्शिता और संभावित जोखिमों और लाभों पर विचार पर आधारित होना चाहिए। जबकि जीएमओ में फसल की पैदावार बढ़ाने और कीटों और बीमारियों के प्रतिरोध को बढ़ाने की क्षमता है, वे जैव विविधता, पारिस्थितिकी तंत्र संतुलन \ n पर दीर्घकालिक प्रभावों के बारे में भी चिंताएं बढ़ाते हैं"
संयुक्त राज्य अमेरिका का पहला राष्ट्रपति कौन था?,जॉर्ज वाशिंगटन संयुक्त राज्य अमेरिका के पहले अध्यक्ष थे। \ n
टेलीफोन का आविष्कारक कौन था?,अलेक्जेंडर ग्राहम बेल टेलीफोन के आविष्कारक थे। \ n
"प्रसिद्ध उपन्यास ""प्राइड एंड प्रेजुडिस"" किसने लिखा था?","जेन ऑस्टेन ने प्रसिद्ध उपन्यास ""प्राइड एंड प्रेजुडिस"" लिखा। \ n"
"प्रसिद्ध ""मोना लिसा"" को किसने चित्रित किया?","लियोनार्डो दा विंची ने प्रसिद्ध ""मोना लिसा"" को चित्रित किया। \ n"
"बैंड ""क्वीन"" का प्रमुख गायक कौन है?","फ्रेडी मर्करी बैंड ""क्वीन"" के प्रमुख गायक थे। \ n"
माइक्रोसॉफ्ट का संस्थापक कौन है?,बिल गेट्स माइक्रोसॉफ्टt के संस्थापक हैं। \ n
"""द कैचर इन द राई"" का लेखक कौन है?","जे। डी। सालिंगर ""द कैचर इन द राई"" के लेखक हैं। \ n"
"फिल्म ""फॉरेस्ट गम्प"" में मुख्य अभिनेता कौन हैं?","टॉम हैंक्स फिल्म ""फॉरेस्ट गम्प"" में मुख्य अभिनेता हैं। \ n"
यूनाइटेड किंगडम के वर्तमान प्रधान मंत्री कौन हैं?,बोरिस जॉनसन यूनाइटेड किंगडम के वर्तमान प्रधान मंत्री हैं। \ n
स्पेसएक्स और टेस्ला का संस्थापक कौन है?,एलोन मस्क स्पेसएक्स और टेस्ला के संस्थापक हैं। \ n
"""हैरी पॉटर"" श्रृंखला का लेखक कौन है?","जे.के. राउलिंग ""हैरी पॉटर"" श्रृंखला के लेखक हैं। \ n"
चंद्रमा पर चलने वाला पहला व्यक्ति कौन है?,नील आर्मस्ट्रांग चाँद पर चलने वाले पहले व्यक्ति थे। \ n
"फिल्म ""द गॉडफादर"" का निर्देशक कौन है?","फ्रांसिस फोर्ड कोपोला फिल्म ""द गॉडफादर"" के निर्देशक हैं। \ n"
फेसबुक का संस्थापक कौन है?,मार्क जुकरबर्ग फेसबुक के संस्थापक हैं। \ n
"""टू किल ए मॉकिंगबर्ड"" का लेखक कौन है?","हार्पर ली ""टू किल ए मॉकिंगबर्ड"" के लेखक हैं। \ n"
"फिल्म ""द शशांक रिडेम्पशन"" में मुख्य अभिनेता कौन हैं?","टिम रॉबिंस फिल्म ""द शशांक रिडेम्पशन"" में मुख्य अभिनेता हैं। \ n"
अमेज़ॅन का संस्थापक कौन है?,जेफ बेजोस अमेज़ॅन के संस्थापक हैं। \ n
"""द ग्रेट गैट्सबी"" का लेखक कौन है?","एफ। स्कॉट फिट्जगेराल्ड ""द ग्रेट गैट्सबी"" के लेखक हैं। \ n"
"फिल्म ""गॉन विद द विंड"" में मुख्य अभिनेत्री कौन है?","विवियन लेह फिल्म ""गॉन विथ द विंड"" में प्रमुख अभिनेत्री हैं। \ n"
"टीवी श्रृंखला ""द सिम्पसंस"" का निर्माता कौन है?","मैट ग्रोइंग टीवी श्रृंखला ""द सिम्पसंस"" के निर्माता हैं। \ n"
"फिल्म ""द डार्क नाइट"" में मुख्य अभिनेता कौन हैं?","हीथ लेजर फिल्म ""द डार्क नाइट"" में मुख्य अभिनेता हैं। \ n"
वर्जिन ग्रुप का संस्थापक कौन है?,रिचर्ड ब्रैनसन वर्जिन ग्रुप के संस्थापक हैं। \ n
"""1984"" का लेखक कौन है?","जॉर्ज ऑरवेल ""1984"" के लेखक हैं। \ n"
"फिल्म ""द मैट्रिक्स"" में मुख्य अभिनेता कौन हैं?","कीनू रीव्स फिल्म ""द मैट्रिक्स"" में प्रमुख अभिनेता हैं। \ n"
"""द क्रॉनिकल्स ऑफ नार्निया"" का लेखक कौन है?","सी.एस. लुईस ""द क्रॉनिकल्स ऑफ नार्निया"" के लेखक हैं। \ n"
"फिल्म ""पल्प फिक्शन"" में मुख्य अभिनेता कौन हैं?","जॉन ट्रावोल्टा फिल्म ""पल्प फिक्शन"" में मुख्य अभिनेता हैं। \ n"
ऐप्पल कंपनी का संस्थापक कौन है?,स्टीव जॉब्स एप्पल कंपनी के संस्थापकों में से एक है। \ n
"""द हॉबिट"" का लेखक कौन है?","जे.आर.आर. टॉल्किन ""द हॉबिट"" के लेखक हैं। \ n"
"फिल्म ""टाइटैनिक"" में मुख्य अभिनेत्री कौन है?","केट विंसलेट फिल्म ""टाइटैनिक"" में प्रमुख अभिनेत्री हैं। \ n"
"टीवी श्रृंखला ""ब्रेकिंग बैड"" का निर्माता कौन है?","विंस गिलिगन टीवी श्रृंखला ""ब्रेकिंग बैड"" के निर्माता हैं। \ n"
"फिल्म ""द साइलेंस ऑफ द लैम्ब्स"" में मुख्य अभिनेता कौन हैं?","एंथोनी हॉपकिंस फिल्म ""द साइलेंस ऑफ द लैम्ब्स"" में मुख्य अभिनेता हैं। \ n"
फोर्ड मोटर कंपनी का संस्थापक कौन है?,हेनरी फोर्ड फोर्ड मोटर कंपनी के संस्थापक हैं। \ n
"""द लॉर्ड ऑफ द रिंग्स"" का लेखक कौन है?","जे.आर.आर. टॉल्किन ""द लॉर्ड ऑफ द रिंग्स"" के लेखक हैं। \ n"
"फिल्म ""द गॉडफादर"" में मुख्य अभिनेता कौन हैं?","मार्लोन ब्रैंडो फिल्म ""द गॉडफादर"" में मुख्य अभिनेता हैं। \ n"
"टीवी श्रृंखला ""द ऑफिस"" का निर्माता कौन है?","रिकी गर्विस टीवी श्रृंखला ""द ऑफिस"" के निर्माता हैं। \ n"
"फिल्म ""गॉन गर्ल"" में मुख्य अभिनेत्री कौन है?","रोसमंड पाइक फिल्म ""गॉन गर्ल"" में प्रमुख अभिनेत्री हैं। \ n"
सोशल मीडिया प्लेटफ़ॉर्म ट्विटर का संस्थापक कौन है?,जैक डोरसी सोशल मीडिया प्लेटफॉर्म ट्विटर के संस्थापकों में से एक है। \ n
"""द कैचर इन द राई"" का लेखक कौन है?","जे। डी। सालिंगर ""द कैचर इन द राई"" के लेखक हैं। \ n"
"टीवी श्रृंखला ""फ्रेंड्स"" में प्रमुख अभिनेत्री कौन है?","जेनिफर एनिस्टन टीवी श्रृंखला ""फ्रेंड्स"" में प्रमुख अभिनेत्री हैं। \ n"
"फिल्म ""जबड़े"" का निर्देशक कौन है?","स्टीवन स्पीलबर्ग फिल्म ""जबड़े"" के निर्देशक हैं। \ n"
"फिल्म ""द रेवेनेंट"" में मुख्य अभिनेता कौन हैं?","लियोनार्डो डिकैप्रियो फिल्म ""द रेवेनेंट"" में मुख्य अभिनेता हैं। \ n"
सोशल मीडिया प्लेटफॉर्म इंस्टाग्राम का संस्थापक कौन है?,केविन सिस्ट्रॉम और माइक क्राइगर सोशल मीडिया प्लेटफॉर्म इंस्टाग्राम के संस्थापक हैं। \ n
"""टू किल ए मॉकिंगबर्ड"" का लेखक कौन है?","हार्पर ली ""टू किल ए मॉकिंगबर्ड"" के लेखक हैं। \ n"
"फिल्म ""द प्रेस्टीज"" में मुख्य अभिनेता कौन हैं?","ह्यूग जैकमैन फिल्म ""द प्रेस्टीज"" में मुख्य अभिनेता हैं। \ n"
"फिल्म ""ला ला लैंड"" में मुख्य अभिनेत्री कौन है?","एम्मा स्टोन फिल्म ""ला ला लैंड"" में प्रमुख अभिनेत्री हैं। \ n"
ई-कॉमर्स प्लेटफॉर्म अमेज़ॅन का संस्थापक कौन है?,जेफ बेजोस ई-कॉमर्स प्लेटफॉर्म अमेज़ॅन के संस्थापक हैं। \ n
"""द ग्रेट गैट्सबी"" का लेखक कौन है?","एफ। स्कॉट फिट्जगेराल्ड ""द ग्रेट गैट्सबी"" के लेखक हैं। \ n"
"टीवी श्रृंखला ""द क्राउन"" में प्रमुख अभिनेत्री कौन है?","ओलिविया कॉलमैन टीवी श्रृंखला ""द क्राउन"" में प्रमुख अभिनेत्री हैं। \ n"
"फिल्म ""इंसेप्शन"" का निर्देशक कौन है?","क्रिस्टोफर नोलन फिल्म ""इंसेप्शन"" के निर्देशक हैं। \ n"
"फिल्म ""फॉरेस्ट गम्प"" में मुख्य अभिनेता कौन हैं?","टॉम हैंक्स फिल्म ""फॉरेस्ट गम्प"" में मुख्य अभिनेता हैं। \ n"
सोशल मीडिया प्लेटफ़ॉर्म फेसबुक का संस्थापक कौन है?,मार्क जुकरबर्ग सोशल मीडिया प्लेटफॉर्म फेसबुक के संस्थापकों में से एक हैं। \ n
"""द पिक्चर ऑफ डोरियन ग्रे"" का लेखक कौन है?","ऑस्कर वाइल्ड ""द पिक्चर ऑफ डोरियन ग्रे"" के लेखक हैं। \ n"
"फिल्म ""ब्लैक स्वान"" में मुख्य अभिनेत्री कौन है?","नताली पोर्टमैन फिल्म ""ब्लैक स्वान"" में प्रमुख अभिनेत्री हैं। \ n"
"टीवी श्रृंखला ""गेम ऑफ थ्रोन्स"" का निर्माता कौन है?","डेविड बेनिओफ और डी। बी। वीस टीवी श्रृंखला ""गेम ऑफ थ्रोन्स"" के निर्माता हैं। \ n"
"फिल्म ""गुडफेलस"" में मुख्य अभिनेता कौन हैं?","रॉबर्ट डी नीरो फिल्म ""गुडफेलस"" में मुख्य अभिनेता हैं। \ n"
इलेक्ट्रिक कार कंपनी टेस्ला का संस्थापक कौन है?,एलोन मस्क इलेक्ट्रिक कार कंपनी टेस्ला के संस्थापकों में से एक है। \ n
"""वन हंड्रेड इयर्स ऑफ सॉलिट्यूड"" का लेखक कौन है?","गेब्रियल गार्सिया मार्केज़ ""वन हंड्रेड इयर्स ऑफ सॉलिट्यूड"" के लेखक हैं। \ n"
"टीवी श्रृंखला ""स्ट्रेंजर थिंग्स"" में प्रमुख अभिनेत्री कौन है?","मिल्ली बॉबी ब्राउन टीवी श्रृंखला ""स्ट्रेंजर थिंग्स"" में प्रमुख अभिनेत्री हैं। \ n"
"फिल्म ""द शशांक रिडेम्पशन"" का निर्देशक कौन है?","फ्रैंक डारबोंट फिल्म ""द शशांक रिडेम्पशन"" के निर्देशक हैं। \ n"
"फिल्म ""द गॉडफादर"" में मुख्य अभिनेता कौन हैं?","मार्लोन ब्रैंडो फिल्म ""द गॉडफादर"" में मुख्य अभिनेता हैं। \ n"
इलेक्ट्रिक कार कंपनी रिवियन का संस्थापक कौन है?,आर -जे। स्कारिंग इलेक्ट्रिक कार कंपनी रिवियन के संस्थापक हैं। \ n
"""टू किल ए मॉकिंगबर्ड"" का लेखक कौन है?","हार्पर ली ""टू किल ए मॉकिंगबर्ड"" के लेखक हैं। \ n"
"फिल्म ""द डेविल वियर्स प्रादा"" में मुख्य अभिनेत्री कौन है?","मेरिल स्ट्रीप फिल्म ""द डेविल वियर्स प्रादा"" में प्रमुख अभिनेत्री हैं। \ n"
"टीवी श्रृंखला ""ब्रेकिंग बैड"" का निर्माता कौन है?","विंस गिलिगन टीवी श्रृंखला ""ब्रेकिंग बैड"" के निर्माता हैं। \ n"
"फिल्म ""द डार्क नाइट"" में मुख्य अभिनेता कौन हैं?","क्रिश्चियन बेल फिल्म ""द डार्क नाइट"" में मुख्य अभिनेता हैं। \ n"
राइड-शेयरिंग कंपनी उबेर का संस्थापक कौन है?,ट्रैविस कलानिक राइड-शेयरिंग कंपनी उबेर के संस्थापकों में से एक है। \ n
"""1984"" का लेखक कौन है?","जॉर्ज ऑरवेल ""1984"" के लेखक हैं। \ n"
"टीवी श्रृंखला ""फ्रेंड्स"" में प्रमुख अभिनेत्री कौन है?","जेनिफर एनिस्टन टीवी श्रृंखला ""फ्रेंड्स"" में प्रमुख अभिनेत्रियों में से एक हैं। \ n"
"फिल्म ""पल्प फिक्शन"" का निर्देशक कौन है?","क्वेंटिन टारनटिनो फिल्म ""पल्प फिक्शन"" के निर्देशक हैं। \ n"
"फिल्म ""द मैट्रिक्स"" में मुख्य अभिनेता कौन हैं?","कीनू रीव्स फिल्म ""द मैट्रिक्स"" में प्रमुख अभिनेता हैं। \ n"
इलेक्ट्रिक कार कंपनी ल्यूसिड मोटर्स का संस्थापक कौन है?,पीटर रॉलिंसन इलेक्ट्रिक कार कंपनी ल्यूसिड मोटर्स के संस्थापकों में से एक है। \ n
"""प्राइड एंड प्रेजुडिस"" का लेखक कौन है?","जेन ऑस्टेन ""प्राइड एंड प्रेजुडिस"" के लेखक हैं। \ n"
"फिल्म ""टाइटैनिक"" में मुख्य अभिनेत्री कौन है?","केट विंसलेट फिल्म ""टाइटैनिक"" में प्रमुख अभिनेत्री हैं। \ n"
"टीवी श्रृंखला ""द ऑफिस"" का निर्माता कौन है?","ग्रेग डेनियल टीवी श्रृंखला ""द ऑफिस"" के निर्माता हैं। \ n"
"फिल्म ""शिंडलर की सूची"" में मुख्य अभिनेता कौन हैं?","लियाम नीसन फिल्म ""शिंडलर की सूची"" में मुख्य अभिनेता हैं। \ n"
इलेक्ट्रिक कार कंपनी फैराडे फ्यूचर का संस्थापक कौन है?,जिया यूएटिंग इलेक्ट्रिक कार कंपनी फैराडे फ्यूचर के संस्थापकों में से एक है। \ n
"""द कैचर इन द राई"" का लेखक कौन है?","जे। डी। सालिंगर ""द कैचर इन द राई"" के लेखक हैं। \ n"
"टीवी श्रृंखला ""द हैंडमेड्स की कहानी"" में प्रमुख अभिनेत्री कौन है?","एलिजाबेथ मॉस टीवी श्रृंखला में प्रमुख अभिनेत्री हैं ""द हैंडमेड्स की कहानी""। \ n"
"फिल्म ""जबड़े"" का निर्देशक कौन है?","स्टीवन स्पीलबर्ग फिल्म ""जबड़े"" के निर्देशक हैं। \ n"
"फिल्म ""फॉरेस्ट गम्प"" में मुख्य अभिनेता कौन हैं?","टॉम हैंक्स फिल्म ""फॉरेस्ट गम्प"" में मुख्य अभिनेता हैं। \ n"
सोशल मीडिया प्लेटफ़ॉर्म फेसबुक का संस्थापक कौन है?,मार्क जुकरबर्ग सोशल मीडिया प्लेटफॉर्म फेसबुक के संस्थापक हैं। \ n
"""द ग्रेट गैट्सबी"" का लेखक कौन है?","एफ। स्कॉट फिट्जगेराल्ड ""द ग्रेट गैट्सबी"" के लेखक हैं। \ n"
"फिल्म ""ला ला लैंड"" में मुख्य अभिनेत्री कौन है?","एम्मा स्टोन फिल्म ""ला ला लैंड"" में प्रमुख अभिनेत्री हैं। \ n"
"टीवी श्रृंखला ""स्ट्रेंजर थिंग्स"" का निर्माता कौन है?","डफर ब्रदर्स टीवी श्रृंखला ""स्ट्रेंजर थिंग्स"" के निर्माता हैं। \ n"
"फिल्म ""द शशांक रिडेम्पशन"" में मुख्य अभिनेता कौन हैं?","टिम रॉबिंस फिल्म ""द शशांक रिडेम्पशन"" में मुख्य अभिनेता हैं। \ n"
ई-कॉमर्स दिग्गज अमेज़ॅन का संस्थापक कौन है?,जेफ बेजोस ई-कॉमर्स दिग्गज अमेज़ॅन के संस्थापक हैं। \ n
"""द क्रॉनिकल्स ऑफ नार्निया"" श्रृंखला का लेखक कौन है?","सी.एस. लुईस ""द क्रॉनिकल्स ऑफ नार्निया"" श्रृंखला के लेखक हैं। \ n"
"टीवी श्रृंखला ""स्ट्रेंजर थिंग्स"" में प्रमुख अभिनेत्री कौन है?","मिल्ली बॉबी ब्राउन टीवी श्रृंखला ""स्ट्रेंजर थिंग्स"" में प्रमुख अभिनेत्रियों में से एक हैं। \ n"
"फिल्म ""द साइलेंस ऑफ द लैम्ब्स"" का निर्देशक कौन है?","जोनाथन डेम्म फिल्म ""द साइलेंस ऑफ द लैम्ब्स"" के निर्देशक हैं। \ n"
